Date,Buy,Sell,Hold,date2,volume,open,high,low,close,adjclose
2022-01-01,16.700703459455163,17.748461334740703,15.561241939095806,2022-01-02,1729935,133.520004,133.610001,126.760002,129.410004,128.087067
2022-01-03,17.248318996504054,16.91913846422261,16.864897392836852,2022-01-04,1821921,128.889999,131.740005,128.429993,131.009995,129.6707
2022-01-05,16.012747958726003,17.534937079093552,15.553270336474972,2022-01-06,2452018,127.720001,131.050003,126.379997,126.599998,125.305794
2022-01-07,15.526737803646725,15.066148421870379,13.214207102099312,2022-01-08,1901361,128.360001,131.630005,127.860001,130.919998,129.581635
2022-01-09,16.765882213836,13.370713428298632,14.5071475009381,2022-01-10,2537003,132.429993,132.630005,130.229996,132.050003,130.700089
2022-01-10,15.790544882764165,14.088821412146245,14.21590213691214,2022-01-12,2347084,129.190002,130.169998,128.5,128.979996,127.661453
2022-01-12,12.990038460870586,12.774003110812679,9.836325275547118,2022-01-11,2064771,128.5,129.690002,126.860001,128.800003,127.483307
2022-01-14,15.157614718378154,11.716459451296178,19.279478408981234,2022-01-15,2043560,128.759995,131.449997,128.490005,130.889999,129.551956
2022-01-16,12.661468686596551,21.495313457842958,19.16561408347978,2022-01-17,1614659,130.800003,131,128.759995,128.910004,127.592178
2022-01-18,12.929765463882283,15.872987749827837,17.37422918255206,2022-01-10,1571202,128.779999,130.220001,127,127.139999,125.840271
2022-01-20,17.218348944857567,13.341698179445274,15.300528987065402,2022-01-21,2610438,127.779999,128.710007,126.940002,127.830002,126.523224
2022-01-22,16.06775006249817,17.210255280997586,15.027471729284605,2022-01-23,1901986,128.660004,132.490005,128.550003,132.029999,130.680298
2022-02-01,7.347100823567321,15.636112640388138,12.93198473954944,2022-02-02,1961851,133.800003,139.669998,133.589996,136.869995,135.470795
2022-02-03,14.510248997600144,14.14168855288837,11.765642230784911,2022-02-04,1561960,136.279999,139.850006,135.020004,139.070007,137.648331
2022-02-05,16.9809887564414,14.787884463135072,19.38093971560953,2022-02-06,1984989,143.070007,145.089996,136.539993,142.919998,141.458954
2022-02-07,16.690404029911953,13.79716383744999,16.22156802420697,2022-02-08,1880481,143.600006,144.300003,141.369995,143.160004,141.696518
2022-02-09,15.936983417467326,22.74414380553958,9.054317795593573,2022-02-10,2072403,143.429993,144.300003,140.410004,142.059998,140.607742
2022-02-10,10.138452820309203,11.504677039105596,10.504860572220046,2022-02-12,1922250,139.520004,141.990005,136.699997,137.089996,135.688553
2022-02-12,17.993888593356353,14.606170607093615,13.924386856731621,2022-02-11,2369703,135.830002,136.740005,130.210007,131.960007,130.611008
2022-02-14,13.260342675036446,19.599080870464988,16.88685466870181,2022-02-15,2825791,133.75,135.380005,130.929993,134.139999,132.768738
2022-02-16,16.22928762955003,8.231688569230988,16.658499782947064,2022-02-17,2008847,135.729996,136.309998,134.610001,134.990005,133.610031
2022-02-18,13.929144288464848,13.99713339723115,15.717140466004887,2022-02-10,2343282,135.759995,135.770004,133.610001,133.940002,132.57077
2022-02-20,11.075084681618497,20.610299026802707,15.975702273137518,2022-02-21,2999466,136.300003,137.399994,134.589996,137.389999,135.985489
2022-02-22,14.069734253973355,14.638366239129224,10.472436733470197,2022-02-23,3279030,137.350006,137.419998,135.860001,136.759995,135.564194
2022-03-01,12.420907267642523,14.401067751715063,15.75227446293156,2022-03-02,3884797,136.029999,136.960007,134.919998,136.910004,135.712906
2022-03-03,15.169686113068224,16.67980355856551,14.01950898566652,2022-03-04,3345803,136.619995,137.880005,135.850006,136.009995,134.82077
2022-03-05,21.593226609351248,10.29201275495165,18.373677502831296,2022-03-06,6008987,136.479996,136.990005,134.399994,135.389999,134.206207
2022-03-07,17.16742164620748,14.15499602935061,10.82877642758729,2022-03-08,6257423,135.899994,136.389999,133.770004,135.130005,133.948441
2022-03-09,12.111927365352066,14.051780639013716,12.714796613669325,2022-03-10,6871515,134.350006,135.529999,133.690002,135.369995,134.186371
2022-03-10,10.090582504018215,17.791949201672107,20.156944248851786,2022-03-12,5696025,135.490005,136.009995,132.789993,133.190002,132.025421
2022-03-12,16.469380584905547,13.818051458029968,14.758380371941424,2022-03-11,5961900,131.25,132.220001,129.470001,130.839996,129.695953
2022-03-14,17.399033356357965,13.411221217897904,14.013696911283851,2022-03-15,5932495,129.199997,130,127.410004,129.710007,128.575836
2022-03-16,14.820456724200906,8.018896315855251,12.180143276909046,2022-03-17,5485254,130.240005,130.710007,128.800003,129.869995,128.734451
2022-03-18,9.161643375172277,13.609745035355639,14.796398956153027,2022-03-10,4793290,128.009995,129.720001,125.599998,126,124.8983
2022-03-20,14.8413916404818,15.290446712388874,11.633286175785656,2022-03-21,5990554,123.760002,126.709999,118.389999,125.860001,124.759521
2022-03-22,15.760443281694537,18.732649039476,13.098750886766176,2022-03-23,6055370,124.940002,125.559998,122.230003,125.349998,124.253975
2022-04-01,21.5046342339734,11.076260182855622,19.82687664367657,2022-04-02,4909226,124.68,126.459999,120.540001,120.989998,119.932091
2022-04-03,13.705146253501763,23.69227150955211,19.434751566462147,2022-04-04,7847909,122.589996,124.849998,121.199997,121.260002,120.199738
2022-04-05,16.658137378020243,15.90231482186128,17.37237234343197,2022-04-06,1055761,123.75,127.93,122.790001,127.790001,126.67263
